Category	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Is Sequential	Number of Web Hits per Day	52	52	3	7.23319517030095	300.733668341709	44.9979290224581	32.3193739945541	19.6846635935182	29.1660219774022	43.9681942373322	293.500473171408	3476.69421115409	58.9634989731282	3.46363697008287	12.2184167737133	7.74316267279054	8.25313017528014	10.0265775850372	145.482657674772	293.884606301365	297.309137321537
Is Sequential	Number of Citations per Day	52	4	3	0	0.00333393404216976	0.000121353562433137	0.000228704790739374	0	0	0	0.00333393404216976	3.61881820823342E-07	0.000601566140023972	4.98844624129559	24.0138930377125	0	0	0	5.95395607303519E-05	0.00308413962605567	0.00320903683411272
Is NOT Sequential	Number of Web Hits	480	478	0	498	3659898	139155.727083333	122782.422065972	35327.5	73929.5	142032.25	3659400	69914971723.5183	264414.393941628	7.23759099078118	75.3996335115978	1064.015	1441.97	4071.05	474306.05	1358418.99	1470256.565
Is NOT Sequential	Number of Citations	480	37	0	0	100	3.55	5.72583333333339	0	0	0	100	122.197912317328	11.054316456359	4.63788067333211	26.365271820603	0	0	0	24.05	53	56.815
Is NOT Sequential	Number of Web Hits per Day	457	457	23	1.02892561983471	413.954673335417	46.4046387567259	34.6259577102542	15.3191652797337	28.6908713692946	52.4201596806387	412.925747715583	3063.62889676654	55.3500577846721	3.24241553677449	13.3938984805488	2.06341881775169	2.61058244458056	6.49547482261784	149.497439063076	301.716831680634	355.874425755804
Is NOT Sequential	Number of Citations per Day	457	91	23	0	0.00845522955948254	0.000307723909402062	0.000503119924565094	0	0	0	0.00845522955948254	9.30308865613642E-07	0.000964525202166144	4.57701036129198	25.3245695097324	0	0	0	0.00207134868505403	0.00453518120056171	0.00546860106274861
Has Categorical Attributes	Number of Web Hits	92	92	0	15463	1986671	235275.72826087	161150.353260869	96498	160500.5	235803.25	1971208	81550546564.5957	285570.563196902	3.90288252752878	18.6302749482777	26697.405	37931.81	53871	608218.5	1417347.7	1702009.35
Has Categorical Attributes	Number of Citations	92	31	0	0	91	11.3152173913043	11.3298676748582	1	4.5	15.25	91	261.514930721453	16.1714232744509	2.37623749207138	6.78186982550789	0	0	0	49	60.97	75.985
Has Categorical Attributes	Number of Web Hits per Day	80	80	12	5.04193872425917	221.578295784073	26.7417195269346	18.7462383929413	9.87484035706454	16.7603606617464	27.8018536959227	216.536357059814	1105.51929169679	33.249350244731	3.79517570683918	17.1663619773776	5.23359795747749	5.42525719069581	6.69463177303531	71.4379993765904	163.860914693418	192.719605238746
Has Categorical Attributes	Number of Citations per Day	80	64	12	0	0.0077007700770077	0.00108629612058885	0.00104279746125904	0.000118963431196879	0.000512935758837398	0.00148958089791774	0.0077007700770077	2.09989608260894E-06	0.00144910181926907	2.19315803840764	5.80855260633809	0	0	0	0.00396924858031426	0.00611080436618277	0.00690578722159524
Has NO Categorical Attributes	Number of Web Hits	375	374	0	656	3659898	120193.325333333	104162.185301334	32972	65445	119809	3659242	64348931540.712	253670.911893169	8.92748346365371	107.770560769623	1484.2	1892.04	4323.7	332587	1332946.06	1392473.89
Has NO Categorical Attributes	Number of Citations	375	22	0	0	100	1.95466666666667	3.54397866666669	0	0	0	100	79.8027522281643	8.93323861923347	6.4000246756245	50.4560431361125	0	0	0	12.3	43.12	53.26
Has NO Categorical Attributes	Number of Web Hits per Day	367	367	8	1.78506097560976	413.954673335417	52.1398776692693	36.8353143172198	20.1328055797789	32.44	61.5633084914919	412.169612359808	3380.47598482526	58.1418608648301	3.05687212177599	11.492497105147	2.5480679806079	4.38551657094858	7.84970588235294	150.224159292248	303.698165470117	340.87582333586
Has NO Categorical Attributes	Number of Citations per Day	367	30	8	0	0.00845522955948254	0.000161892354966945	0.00029610953476688	0	0	0	0.00845522955948254	5.90308838652808E-07	0.000768315585324681	6.45119967465317	49.9223224916567	0	0	0	0.00102537014314536	0.00431577924088214	0.00444420700605762
Has Integer Attributes	Number of Web Hits	223	223	0	1171	1986671	142462.443946188	122514.896137064	35787.5	80330	153358.5	1985500	50206558767.7885	224068.201152659	4.78015439394342	30.2279864153014	1863.06	1955.48	6109	520386.5	1240196.98	1515810.22
Has Integer Attributes	Number of Citations	223	26	0	0	58	3.36322869955157	5.21904723601923	0	0	1	58	91.790894033046	9.58075644367636	3.80373614255132	15.3181290607941	0	0	0	24	52.56	54.78
Has Integer Attributes	Number of Web Hits per Day	214	214	9	1.78506097560976	372.021081576535	48.7080844747635	36.3135231837476	15.4191473114486	28.7960170799961	60.7899340342554	370.236020600925	2879.15674001367	53.6577742737589	2.7293491992166	9.81835703017541	2.71639669125733	4.47211696416186	7.5774913730001	145.455384218192	278.759775840395	295.096849020829
Has Integer Attributes	Number of Citations per Day	214	49	9	0	0.00568815525317868	0.000282776954867434	0.000448161727959419	0	0	0	0.00568815525317868	7.14334355937934E-07	0.000845183031028152	4.04543535214632	17.7551574162346	0	0	0	0.002112171275776	0.00461208391693054	0.00489232243732889
Has NO Integer Attributes	Number of Web Hits	244	244	0	656	3659898	143232.536885246	121031.94907283	48357.5	75723	139519.5	3659242	87736967611.5996	296204.266700531	8.1346971660851	85.4719470953722	1612.27	2134.32	4808.1	359099.6	1343325.17	1368291.24
Has NO Integer Attributes	Number of Citations	244	26	0	0	100	4.19672131147541	6.81577532921254	0	0	0	100	163.20393982325	12.7751297380203	4.46466854122485	23.9657157332977	0	0	0	29.4	52.57	82.83
Has NO Integer Attributes	Number of Web Hits per Day	233	233	11	2.31802120141343	413.954673335417	46.5714274213615	33.2541678285907	17.5562086700955	29.8735471107081	51.9249201277955	411.636652134004	3246.50888951533	56.9781439634122	3.55967234284516	15.0736621797739	4.36514904603459	5.02494372660661	7.17318735540217	148.870795753541	306.662662598526	330.489650615291
Has NO Integer Attributes	Number of Citations per Day	233	45	11	0	0.00845522955948254	0.000368257148404918	0.000606729788652831	0	0	0	0.00845522955948254	1.22889463441049E-06	0.00110855520133663	4.31751637705962	22.3969459039724	0	0	0	0.002502366426884	0.00438232327393271	0.00717055517791305
