Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
Container Crane Controller Data Set	Univariate, Domain-Theory	Real	Classification, Regression	15	3		Computer	2018-01-01	1051	33053	0	31.449096098953376	0.0
Residential Building Data Set	Multivariate	Real	Regression	372	105		Computer	2018-02-19	1002	50024	0	49.924151696606785	0.0
Health News in Twitter	Text	Real	Clustering	58000	25000		Computer	2018-02-19	1002	52525	0	52.420159680638726	0.0
chipseq	Sequential	Integer	Classification	4960			Life	2018-02-21	1000	22217	0	22.217	0.0
SGEMM GPU kernel performance	Multivariate	Integer	Regression	241600	18		Computer	2018-02-27	994	27563	0	27.729376257545272	0.0
Repeat Consumption Matrices	Multivariate	Real	Clustering	130000	21000		Computer	2018-03-22	971	22296	0	22.961894953656024	0.0
detection_of_IoT_botnet_attacks_N_BaIoT	Multivariate, Sequential	Real	Classification, Clustering	7062606	115		Computer	2018-03-19	974	71745	0	73.66016427104722	0.0
Absenteeism at work	Multivariate, Time-Series	Integer, Real	Classification, Clustering	740	21		Business	2018-04-05	957	189132	0	197.63009404388714	0.0
SCADI	Multivariate		Classification, Clustering	70	206		Life	2018-04-14	948	31023	0	32.7246835443038	0.0
Condition monitoring of hydraulic systems	Multivariate, Time-Series	Real	Classification, Regression	2205	43680		Computer	2018-04-26	936	56608	0	60.47863247863248	0.0
Carbon Nanotubes	Univariate	Real	Regression	10721	8		Computer	2018-04-05	957	41034	0	42.877742946708466	0.0
Optical Interconnection Network 	Multivariate	Integer, Real	Classification, Regression	640	10		Computer	2018-03-29	964	27658	0	28.690871369294605	0.0
Sports articles for objectivity analysis	Multivariate, Text	Integer	Classification	1000	59		Social	2018-04-09	953	36981	0	38.80482686253935	0.0
Breast Cancer Coimbra	Multivariate	Integer	Classification	116	10		Life	2018-03-06	987	96556	0	97.82776089159069	0.0
GNFUV Unmanned Surface Vehicles Sensor Data	Multivariate, Time-Series	Real	Regression	1672	5		Computer	2018-05-06	926	22744	0	24.56155507559395	0.0
Dishonest Internet users Dataset	Multivariate		Classification, Clustering	322	5		Computer	2018-03-20	973	48847	0	50.20246659815005	0.0
Victorian Era Authorship Attribution	Text		Classification	93600	1000		Computer	2018-05-31	901	17645	0	19.58379578246393	0.0
Simulated Falls and Daily Living Activities Data Set	Time-Series	Integer	Classification	3060	138	Yes	Life	2018-06-06	895	82915	0	92.64245810055866	0.0
Multimodal Damage Identification for Humanitarian Computing	Multivariate, Text	Integer	Classification	5879			Social	2018-06-01	900	13114	0	14.571111111111112	0.0
EEG Steady-State Visual Evoked Potential Signals	Multivariate, Time-Series	Integer	Classification, Regression	9200	16		Life	2018-07-13	858	36499	0	42.53962703962704	0.0
Roman Urdu Data Set	Text		Classification	20000	2		Computer	2018-08-29	811	22498	0	27.741060419235513	0.0
Avila	Multivariate	Real	Classification	20867	10		Computer	2018-06-20	881	34741	0	39.433598183881955	0.0
PANDOR	Multivariate	Categorical	Recommendation				Life	2018-10-02	777	15463	0	19.9009009009009	0.0
Drug Review Dataset (Druglib.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	4143	8			2018-10-02	777	55877	0	71.91377091377092	0.0
Drug Review Dataset (Drugs.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	215063	6		Life	2018-10-04	775	83417	0	107.63483870967742	0.0
Physical Unclonable Functions	Multivariate	Integer	Classification	6000000	129		Computer	2018-10-08	771	16832	0	21.831387808041505	0.0
Superconductivty Data	Multivariate	Real	Regression	21263	81		Physical	2018-10-12	767	46625	0	60.78878748370274	0.0
WESAD (Wearable Stress and Affect Detection)	Multivariate, Time-Series	Real	Classification, Regression	63000000	12		Computer	2018-09-14	795	44227	0	55.6314465408805	0.0
GNFUV Unmanned Surface Vehicles Sensor Data Set 2	Multivariate, Sequential, Time-Series	Real	Regression	10190	6	Yes	Computer	2018-09-13	796	10970	0	13.78140703517588	0.0
Student Academics Performance	Multivariate		Classification	300	22		Computer	2018-09-16	793	69123	0	87.16645649432535	0.0
Online Shoppers Purchasing Intention Dataset	Multivariate	Integer, Real	Classification, Clustering	12330	18		Business	2018-08-31	809	102694	0	126.93943139678616	0.0
PMU-UD	Univariate		Classification	5180	9		Computer	2018-08-05	835	11547	0	13.82874251497006	0.0
Parkinson's Disease Classification	Multivariate	Integer, Real	Classification	756	754		Computer	2018-11-05	743	66025	0	88.86271870794079	0.0
Electrical Grid Stability Simulated Data 	Multivariate	Real	Classification, Regression	10000	14		Physical	2018-11-16	732	50220	0	68.60655737704919	0.0
Caesarian Section Classification Dataset	Univariate	Integer	Classification	80	5		Life	2018-11-02	746	42462	0	56.919571045576404	0.0
BAUM-1	Time-Series		Classification	1184			Computer	2018-11-09	739	17245	0	23.33558863328823	0.0
BAUM-2	Time-Series		Classification	1047			Computer	2018-11-09	739	11266	0	15.244925575101488	0.0
Audit Data	Multivariate	Real	Classification	777	18	Yes		2018-07-14	857	44865	0	52.3512252042007	0.0
BuddyMove Data Set	Multivariate, Text	Real	Classification, Clustering	249	7			2018-07-01	870	30455	0	35.00574712643678	0.0
Real estate valuation data set	Multivariate	Integer, Real	Regression	414	7		Business	2018-08-18	822	85622	0	104.16301703163018	0.0
Somerville Happiness Survey		Integer	Classification	143	7		Life	2018-05-24	908	21562	0	23.74669603524229	0.0
2.4 GHZ Indoor Channel Measurements	Multivariate	Real	Classification	7840	5		Computer	2018-11-30	718	65445	0	91.14902506963789	0.0
EMG data for gestures	Time-Series	Real	Classification	30000	6		Life	2019-01-07	680	52566	0	77.30294117647058	0.0
Parking Birmingham	Multivariate, Univariate, Sequential, Time-Series	Real	Classification, Regression, Clustering	35717	4	Yes	Computer	2019-01-02	685	53639	0	78.30510948905109	0.0
Behavior of the urban traffic of the city of Sao Paulo in Brazil	Multivariate, Time-Series	Integer, Real	Classification, Regression	135	18		Computer	2018-12-12	706	50942	0	72.15580736543909	0.0
Travel Reviews	Multivariate, Text	Real	Classification, Clustering	980	11			2018-12-19	699	77103	0	110.30472103004291	0.0
Tarvel Review Ratings	Multivariate, Text	Real	Classification, Clustering	5456	25			2018-12-19	699	55001	0	78.68526466380544	0.0
Rice Leaf Diseases	Multivariate	Integer	Classification	120			Computer	2019-04-14	583	45107	0	77.3704974271012	0.0
Gas sensor array temperature modulation	Multivariate, Time-Series	Real	Classification, Regression	4095000	20		Computer	2019-04-15	582	23633	0	40.606529209621996	0.0
Facebook Live Sellers in Thailand	Multivariate	Integer	Clustering	7051	12		Business	2019-04-22	575	39279	0	68.31130434782608	0.0
Parkinson Dataset with replicated acoustic features 	Multivariate		Classification	240	46		Life	2019-04-10	587	22009	0	37.49403747870528	0.0
Metro Interstate Traffic Volume	Multivariate, Sequential, Time-Series	Integer, Real	Regression	48204	9			2019-05-07	560	53243	0	95.07678571428572	0.0
Query Analytics Workloads Dataset	Multivariate	Real	Regression, Clustering	260000	8		Computer	2019-06-22	514	15728	0	30.59922178988327	0.0
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	506	20857	0	41.219367588932805	0.0
PPG-DaLiA	Multivariate, Time-Series	Real	Regression	8300000	11		Computer	2019-07-30	476	20543	0	43.15756302521008	0.0
Alcohol QCM Sensor Dataset	Multivariate	Real	Classification, Regression, Clustering	125	8		Computer	2019-07-22	484	51366	0	106.12809917355372	0.0
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	482	87656	0	181.85892116182572	0.0
Incident management process enriched event log	Multivariate, Sequential	Integer	Regression, Clustering	141712	36	Yes	Business	2019-07-14	492	25225	0	51.270325203252035	0.0
Opinion Corpus for Lebanese Arabic Reviews (OCLAR)	Text	Integer	Classification	3916	3916		Computer	2019-06-17	519	4750	0	9.152215799614643	0.0
MEx	Time-Series	Real	Classification, Clustering	6262	710		Computer	2019-09-20	424	13479	0	31.79009433962264	0.0
Beijing Multi-Site Air-Quality Data	Multivariate, Time-Series	Integer, Real	Regression	420768	18	Yes	Physical	2019-09-20	424	49758	0	117.35377358490567	0.0
Online Retail II	Multivariate, Sequential, Time-Series, Text	Integer, Real	Classification, Regression, Clustering	1067371	8	Yes	Business	2019-09-21	423	87599	0	207.08983451536642	0.0
Hepatitis C Virus (HCV) for Egyptian patients	Multivariate	Integer, Real	Classification	1385	29		Life	2019-09-30	414	51872	0	125.29468599033817	0.0
QSAR fish toxicity	Multivariate	Real	Regression	908	7		Physical	2019-09-23	421	28341	0	67.31828978622327	0.0
QSAR aquatic toxicity	Multivariate	Real	Regression	546	9		Physical	2019-09-23	421	16977	0	40.32541567695962	0.0
Human Activity Recognition from Continuous Ambient Sensor Data	Multivariate, Sequential, Time-Series	Integer, Real	Classification	13956534	37	Yes		2019-09-20	424	26131	0	61.62971698113208	0.0
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset 	Multivariate, Time-Series	Real	Classification	15630426	6		Computer	2019-10-06	408	60955	0	149.39950980392157	0.0
QSAR oral toxicity	Multivariate		Classification	8992	1024		Physical	2019-10-01	413	7803	0	18.893462469733656	0.0
QSAR androgen receptor	Multivariate		Classification	1687	1024		Physical	2019-10-01	413	4094	0	9.912832929782082	0.0
QSAR Bioconcentration classes dataset	Multivariate		Classification, Regression	779	14		Life	2019-10-11	403	7440	0	18.46153846153846	0.0
QSAR fish bioconcentration factor (BCF)	Multivariate	Integer, Real	Regression	1056	7		Life	2019-11-27	356	7521	0	21.126404494382022	0.0
A study of  Asian Religious and Biblical Texts	Multivariate, Text	Integer	Classification, Clustering	590	8265		Social	2019-12-24	329	21810	0	66.2917933130699	0.0
Real-time Election Results: Portugal 2019	Multivariate, Time-Series, Text	Integer, Real	Regression	21643	29		Social	2019-12-05	348	14845	0	42.6580459770115	0.0
Bias correction of numerical prediction model temperature forecast	Multivariate	Real	Regression	7750	25	Yes	Physical	2020-02-18	273	18245	0	66.83150183150182	0.0
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	267	59713	0	223.6441947565543	0.0
Kitsune Network Attack Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Clustering, Causal-Discovery	27170754	115		Computer	2019-10-16	398	119692	0	300.73366834170855	0.0
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	181	4323	0	23.883977900552487	0.0
Speaker Accent Recognition	Multivariate	Real	Classification	329	12		Social	2020-03-04	258	7249	0	28.0968992248062	0.0
Heart failure clinical records	Multivariate	Integer, Real	Classification, Regression, Clustering	299	13		Life	2020-02-05	286	27032	0	94.51748251748252	0.0
Deepfakes: Medical Image Tamper Detection	Multivariate	Real	Classification	20000	200000		Computer	2020-03-11	251	5789	0	23.06374501992032	0.0
selfBACK	Time-Series	Real	Classification, Clustering	26136	6		Computer	2020-06-15	155	8113	0	52.34193548387097	0.0
South German Credit	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2019-11-29	354	7102	0	20.062146892655367	0.0
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	209	7858	0	37.59808612440192	0.0
Swarm Behaviour	Multivariate	Real	Classification	24017	2400		Computer	2020-06-16	154	12640	0	82.07792207792208	0.0
Crop mapping using fused optical-radar data set	Multivariate, Time-Series	Real	Classification	325834	175			2020-06-16	154	7573	0	49.175324675324674	0.0
