Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Number of Web Hits	Number of Citations
Image Segmentation	Multivariate	Real	Classification	2310	19	No		1990-11-01	204952	15
Internet Advertisements	Multivariate	Categorical, Integer, Real	Classification	3279	1558	Yes	Computer	1998-07-01	363637	3
Ionosphere	Multivariate	Integer, Real	Classification	351	34	No	Physical	1989-01-01	240639	55
Iris	Multivariate	Real	Classification	150	4	No	Life	1988-07-01	3659898	100
ISOLET	Multivariate	Real	Classification	7797	617	No	Computer	1994-09-12	126863	11
Kinship	Relational	Categorical	Relational-Learning	104	12	No	Social	1990-07-01	78602	0
Labor Relations	Multivariate	Categorical, Integer, Real		57	16	No	Social	1988-11-01	81371	17
LED Display Domain	Multivariate, Data-Generator	Categorical	Classification		7	No	Computer	1988-11-10	71399	9
Lenses	Multivariate	Categorical	Classification	24	4	No		1990-08-01	179915	11
Letter Recognition	Multivariate	Integer	Classification	20000	16	No	Computer	1991-01-01	404155	16
Liver Disorders	Multivariate	Categorical, Integer, Real		345	7	No	Life	1990-05-15	185242	23
Logic Theorist	Domain-Theory						Computer		34891	0
Lung Cancer	Multivariate	Integer	Classification	32	56	Yes	Life	1992-05-01	315652	3
Lymphography	Multivariate	Categorical	Classification	148	18	No	Life	1988-11-01	93005	12
Mechanical Analysis	Multivariate	Categorical, Integer, Real	Classification	209	8	No	Computer	1990-06-01	102767	0
Meta-data	Multivariate	Categorical, Integer, Real	Classification	528	22	Yes		1996-03-01	76903	0
Mobile Robots	Domain-Theory	Categorical, Integer, Real					Computer	1995-07-15	76294	1
Molecular Biology (Promoter Gene Sequences)	Sequential, Domain-Theory	Categorical	Classification	106	58	No	Life	1990-06-30	80274	37
Molecular Biology (Protein Secondary Structure)	Sequential	Categorical	Classification	128			Life		57465	6
Molecular Biology (Splice-junction Gene Sequences)	Sequential, Domain-Theory	Categorical	Classification	3190	61	No	Life	1992-01-01	104250	30
MONK's Problems	Multivariate	Categorical	Classification	432	7	No		1992-10-01	214448	15
Moral Reasoner	Domain-Theory			202			Computer	1994-06-01	40812	0
Multiple Features	Multivariate	Integer, Real	Classification	2000	649	No	Computer		115138	5
Mushroom	Multivariate	Categorical	Classification	8124	22	Yes	Life	1987-04-27	577047	46
Musk (Version 1)	Multivariate	Integer	Classification	476	168	No	Physical	1994-09-12	68910	13
Musk (Version 2)	Multivariate	Integer	Classification	6598	168	No	Physical	1994-09-12	74377	13
Nursery	Multivariate	Categorical	Classification	12960	8	No	Social	1997-06-01	206068	12
Othello Domain Theory	Domain-Theory					No	Game	1991-02-01	28540	0
Page Blocks Classification	Multivariate	Integer, Real	Classification	5473	10	No	Computer	1995-07-01	100672	3
Optical Recognition of Handwritten Digits	Multivariate	Integer	Classification	5620	64	No	Computer	1998-07-01	287733	6
Pen-Based Recognition of Handwritten Digits	Multivariate	Integer	Classification	10992	16	No	Computer	1998-07-01	234444	18
Post-Operative Patient	Multivariate	Categorical, Integer	Classification	90	8	Yes	Life	1993-06-01	109965	3
Primary Tumor	Multivariate	Categorical	Classification	339	17	Yes	Life	1988-11-01	137171	8
Prodigy	Domain-Theory								34851	0
Qualitative Structure Activity Relationships	Domain-Theory						Physical		27700	0
Quadruped Mammals	Multivariate, Data-Generator	Real	Classification		72	No	Life	1992-08-25	68899	0
Servo	Multivariate	Categorical, Integer	Regression	167	4	No	Computer	1993-05-01	110019	10
Shuttle Landing Control	Multivariate	Categorical	Classification	15	6	No	Physical	1988-11-01	107272	2
Solar Flare	Multivariate	Categorical	Regression	1389	10	No	Physical	1989-03-01	155101	7
Soybean (Large)	Multivariate	Categorical	Classification	307	35	Yes	Life	1988-07-11	131545	49
Soybean (Small)	Multivariate	Categorical	Classification	47	35	No	Life	1987-01-01	105438	49
Challenger USA Space Shuttle O-Ring	Multivariate	Integer	Regression	23	4	No	Physical	1993-08-05	145383	3
Low Resolution Spectrometer	Multivariate	Integer, Real	Classification	531	102		Physical	1988-03-01	54409	0
Spambase	Multivariate	Integer, Real	Classification	4601	57	Yes	Computer	1999-07-01	541406	4
SPECT Heart	Multivariate	Categorical	Classification	267	22	No	Life	2001-10-01	208770	4
SPECTF Heart	Multivariate	Integer	Classification	267	44	No	Life	2001-10-01	96761	1
Sponge	Multivariate	Categorical, Integer	Clustering	76	45	Yes	Life		96572	0
Statlog Project								1992-10-01	48556	47
Student Loan Relational	Domain-Theory			1000			Social	1993-01-01	70202	0
Teaching Assistant Evaluation	Multivariate	Categorical, Integer	Classification	151	5	No		1997-06-07	166900	0
Tic-Tac-Toe Endgame	Multivariate	Categorical	Classification	958	9	No	Game	1991-08-19	250521	19
Thyroid Disease	Multivariate, Domain-Theory	Categorical, Real	Classification	7200	21		Life	1987-01-01	249361	26
Trains	Multivariate	Categorical	Classification	10	32			1994-06-24	160218	1
University	Multivariate	Categorical, Integer	Classification	285	17	Yes		1988-07-01	228959	0
Congressional Voting Records	Multivariate	Categorical	Classification	435	16	Yes	Social	1987-04-27	230879	20
Water Treatment Plant	Multivariate	Integer, Real	Clustering	527	38		Physical	1993-06-01	150530	0
Waveform Database Generator (Version 1)	Multivariate, Data-Generator	Real	Classification	5000	21	No	Physical	1988-11-10	76803	35
