Name	Link
Page Blocks Classification	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification
Pen-Based Recognition of Handwritten Digits	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits
Pima Indians Diabetes	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Pima+Indians+Diabetes
Pioneer-1 Mobile Robot Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Pioneer-1+Mobile+Robot+Data
Pittsburgh Bridges	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges
Poker Hand	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Poker+Hand
Post-Operative Patient	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient
Primary Tumor	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Primary+Tumor
Prodigy	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Prodigy
Protein Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Protein+Data
Pseudo Periodic Synthetic Time Series	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Pseudo+Periodic+Synthetic+Time+Series
Quadruped Mammals	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Quadruped+Mammals
Qualitative Structure Activity Relationships	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships
Reuters-21578 Text Categorization Collection	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Reuters-21578+Text+Categorization+Collection
Robot Execution Failures	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures
Servo	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Servo
Shuttle Landing Control	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control
